cohesion,friction_angle,slope_angle,slope_height,pore water pressure ratio,ucs,factor of safety
21.81383683,38.24995777,41.90722842,18.45104185,0.847236578,168.7122391,2.613691703
19.98104433,24.61279989,32.96462268,9.266799882,0.494517044,105.6615668,2.241626347
12.92692606,28.66599236,58.22492624,10.68616512,0.195465611,108.1954964,1.568243617
32.32700015,36.58201592,20.94892255,13.13020077,0.736641787,157.8777258,3
26.44808722,32.05223361,39.3928208,14.16440005,0.418678136,183.8325614,3
43.95654465,38.46427597,45.01050075,15.90178141,0.594627483,134.025838,3
6.444931122,44.03019753,51.27822447,16.4957013,0.10726529,161.0217288,1.545751473
33.97405674,22.91366719,30.34855152,25.50723555,0.63158399,193.1474904,3
39.33269953,37.73919291,44.34609538,27.93079359,0.373550489,186.9771442,3
39.17689561,25.75860389,25.16007357,18.89956437,0.33418975,178.5856136,3
44.87332852,30.36191819,31.77380462,45.8283389,0.979915579,166.398984,3
37.80651843,20.82156814,54.78135656,29.89128755,0.432430643,107.7324716,3
46.75145277,23.39768456,57.49538047,40.43646176,0.678038378,128.8939114,3
19.96954699,27.99443223,45.94086735,46.59070246,0.627727536,83.68896528,2.156829999
27.64442375,28.54964513,28.71759454,12.34108016,0.104303551,139.4044448,3
5.633584848,42.48963041,51.0028895,24.25435177,0.747927537,159.2631981,1.095686835
5.313091429,38.54532273,11.29335409,24.49446808,0.323159203,97.14180746,1.541640091
15.80569792,44.3045742,15.13729553,20.95125127,0.798939549,106.68856,2.506546202
9.536323871,34.97678776,43.06868682,5.400763995,0.607640783,95.353704,1.385018053
16.70951156,26.0428433,24.56242876,41.71874485,0.31709149,161.8369964,2.1348759
12.96694825,28.19137575,57.56931092,10.02016947,0.35629296,118.6002256,1.482567761
6.283401118,27.99589808,31.8030306,49.79662691,0.73150737,106.8481207,0.877752724
45.91868659,28.16235819,31.46824102,39.78313214,0.550059315,160.5759866,3
5.370040913,36.82410433,43.90397551,31.10045079,0.668351041,153.631875,0.99125896
38.1236965,33.2701982,48.37842812,11.9572888,0.158318321,109.0806452,3
11.84665491,29.63560445,33.77793691,28.19268371,0.786976672,176.8357849,1.441251268
46.05033299,23.72724422,20.70004509,16.74989334,0.320391319,111.4119423,3
